Scenario,Episode,Result,Steps,Final_HP,Is_Success,Is_Flow,Real_Time_Sec
3. Walls + Monsters,80,too_fast,40,3,1,0,0.0127
3. Walls + Monsters,81,too_fast,40,3,1,0,0.0134
3. Walls + Monsters,82,flow_success,80,3,1,1,0.0405
3. Walls + Monsters,83,flow_success,58,3,1,1,0.0338
3. Walls + Monsters,84,flow_success,56,3,1,1,0.0223
3. Walls + Monsters,85,too_fast,32,3,1,0,0.0098
3. Walls + Monsters,86,flow_success,80,3,1,1,0.0532
3. Walls + Monsters,87,flow_success,80,3,1,1,0.0383
3. Walls + Monsters,88,too_fast,44,3,1,0,0.0155
3. Walls + Monsters,89,died,58,0,0,0,0.0318
3. Walls + Monsters,90,too_fast,40,3,1,0,0.0145
3. Walls + Monsters,91,too_fast,48,3,1,0,0.0167
3. Walls + Monsters,92,flow_success,72,3,1,1,0.0333
3. Walls + Monsters,93,too_fast,32,3,1,0,0.0094
3. Walls + Monsters,94,too_fast,48,2,1,0,0.0215
3. Walls + Monsters,95,died,21,0,0,0,0.0117
3. Walls + Monsters,96,too_fast,48,3,1,0,0.0171
3. Walls + Monsters,97,too_fast,48,3,1,0,0.018
3. Walls + Monsters,98,flow_success,54,3,1,1,0.0221
3. Walls + Monsters,99,died,88,0,0,0,0.0647
3. Walls + Monsters,100,too_fast,32,3,1,0,0.0106
4. Full Features,1,flow_success,80,3,1,1,0.0571
4. Full Features,2,flow_success,76,3,1,1,0.0371
4. Full Features,3,flow_success,78,3,1,1,0.0469
4. Full Features,4,died,29,0,0,0,0.0196
4. Full Features,5,died,41,0,0,0,0.0365
4. Full Features,6,flow_success,52,3,1,1,0.019
4. Full Features,7,too_fast,48,2,1,0,0.0214
4. Full Features,8,flow_success,84,3,1,1,0.0422
4. Full Features,9,flow_success,88,3,1,1,0.0478
4. Full Features,10,flow_success,86,3,1,1,0.0466
4. Full Features,11,too_fast,40,3,1,0,0.0131
4. Full Features,12,too_fast,40,3,1,0,0.0156
4. Full Features,13,too_fast,44,3,1,0,0.0174
4. Full Features,14,too_fast,28,3,1,0,0.0081
4. Full Features,15,too_fast,32,3,1,0,0.0097
4. Full Features,16,flow_success,52,3,1,1,0.0224
4. Full Features,17,flow_success,66,3,1,1,0.0354
4. Full Features,18,too_fast,44,3,1,0,0.0171
4. Full Features,19,flow_success,56,3,1,1,0.0222
4. Full Features,20,flow_success,64,3,1,1,0.0285
4. Full Features,21,too_fast,36,3,1,0,0.0121
4. Full Features,22,too_fast,36,3,1,0,0.0116
4. Full Features,23,flow_success,52,2,1,1,0.023
4. Full Features,24,too_fast,44,3,1,0,0.0154
4. Full Features,25,too_fast,40,3,1,0,0.028
4. Full Features,26,flow_success,84,3,1,1,0.0423
4. Full Features,27,too_fast,46,3,1,0,0.0274
4. Full Features,28,flow_success,60,3,1,1,0.0279
4. Full Features,29,too_fast,48,3,1,0,0.0555
4. Full Features,30,died,30,0,0,0,0.0197
4. Full Features,31,flow_success,76,3,1,1,0.0361
4. Full Features,32,too_fast,46,3,1,0,0.0264
4. Full Features,33,flow_success,52,3,1,1,0.0187
4. Full Features,34,too_fast,44,3,1,0,0.0149
4. Full Features,35,too_fast,40,3,1,0,0.013
4. Full Features,36,too_fast,48,3,1,0,0.017
4. Full Features,37,flow_success,52,3,1,1,0.0201
4. Full Features,38,too_fast,44,3,1,0,0.0153
4. Full Features,39,too_fast,38,3,1,0,0.0125
4. Full Features,40,flow_success,68,3,1,1,0.032
4. Full Features,41,flow_success,76,3,1,1,0.0497
4. Full Features,42,flow_success,52,3,1,1,0.0229
4. Full Features,43,too_fast,46,3,1,0,0.0167
4. Full Features,44,too_fast,36,3,1,0,0.0108
4. Full Features,45,too_fast,48,3,1,0,0.0197
4. Full Features,46,too_fast,44,3,1,0,0.0171
4. Full Features,47,flow_success,80,3,1,1,0.0423
4. Full Features,48,died,22,0,0,0,0.0147
4. Full Features,49,flow_success,64,1,1,1,0.031
4. Full Features,50,flow_success,64,3,1,1,0.0271
4. Full Features,51,too_fast,44,3,1,0,0.0158
4. Full Features,52,too_fast,32,3,1,0,0.0098
4. Full Features,53,died,43,0,0,0,0.0268
4. Full Features,54,too_fast,44,3,1,0,0.0165
4. Full Features,55,flow_success,86,3,1,1,0.0471
4. Full Features,56,flow_success,56,3,1,1,0.0297
4. Full Features,57,too_fast,40,3,1,0,0.0131
4. Full Features,58,too_fast,40,3,1,0,0.0127
4. Full Features,59,flow_success,56,3,1,1,0.0211
4. Full Features,60,died,64,0,0,0,0.0387
4. Full Features,61,flow_success,52,3,1,1,0.023
4. Full Features,62,flow_success,56,3,1,1,0.0231
4. Full Features,63,too_fast,46,3,1,0,0.0359
4. Full Features,64,flow_success,52,3,1,1,0.0372
4. Full Features,65,flow_success,68,3,1,1,0.0529
4. Full Features,66,flow_success,52,3,1,1,0.0207
4. Full Features,67,too_fast,36,3,1,0,0.0115
4. Full Features,68,flow_success,56,3,1,1,0.0222
4. Full Features,69,flow_success,52,3,1,1,0.0249
4. Full Features,70,too_fast,32,3,1,0,0.0095
4. Full Features,71,too_fast,40,3,1,0,0.0145
4. Full Features,72,flow_success,60,3,1,1,0.0242
4. Full Features,73,flow_success,54,3,1,1,0.0215
4. Full Features,74,too_fast,36,3,1,0,0.0145
4. Full Features,75,flow_success,68,3,1,1,0.0291
4. Full Features,76,flow_success,56,3,1,1,0.0218
4. Full Features,77,too_fast,40,3,1,0,0.0126
4. Full Features,78,too_fast,40,3,1,0,0.0129
4. Full Features,79,too_fast,34,3,1,0,0.0131
4. Full Features,80,flow_success,80,3,1,1,0.035
4. Full Features,81,too_fast,38,3,1,0,0.0125
4. Full Features,82,timeout,151,3,0,0,0.0762
4. Full Features,83,too_fast,42,2,1,0,0.0171
4. Full Features,84,flow_success,80,3,1,1,0.0444
4. Full Features,85,too_fast,40,3,1,0,0.0145
4. Full Features,86,too_fast,28,3,1,0,0.0085
4. Full Features,87,too_fast,44,3,1,0,0.0156
4. Full Features,88,flow_success,68,3,1,1,0.0293
4. Full Features,89,flow_success,56,3,1,1,0.0236
4. Full Features,90,flow_success,84,3,1,1,0.0403
4. Full Features,91,flow_success,64,2,1,1,0.0277
4. Full Features,92,too_fast,44,3,1,0,0.015
4. Full Features,93,too_fast,48,3,1,0,0.0181
4. Full Features,94,flow_success,64,3,1,1,0.0264
4. Full Features,95,flow_success,50,3,1,1,0.0245
4. Full Features,96,flow_success,64,3,1,1,0.0295
4. Full Features,97,flow_success,56,3,1,1,0.025
4. Full Features,98,too_fast,40,3,1,0,0.0135
4. Full Features,99,too_fast,48,3,1,0,0.0183
4. Full Features,100,flow_success,92,3,1,1,0.0492
